item_name,number_of_steps,number_of_retries,percentage_decrease
perf_branches,131,5,51.11940298507462
weights,26,4,58.06451612903226
weights,21,5,66.12903225806451
energy,143,1,0
energy,118,2,17.482517482517483
energy,101,3,29.37062937062937
energy,82,4,42.65734265734265
energy,80,5,44.05594405594406
perf_L1_dcache_loads,273,1,0
perf_L1_dcache_loads,175,2,35.8974358974359
perf_L1_dcache_loads,123,4,54.94505494505495
perf_L1_dcache_loads,93,5,65.93406593406593
